source,target,APlevel,value,clusterId,sourcefilename,targetfilename,clustersize,sourceTopWords,targetTopWords
doc12,e12,1,-1,0,Coca_Cola_to_Increase_Japan_Vending_Sites,Coca_Cola_to_Increase_Japan_Vending_Sites,5,total;president;said;coca-cola;number;continued;distribution;plan;mr.;machines;coca-cola's;encouraging;beer-vending;new;beer;japan;million.;sales;vending;machines,coca-cola;israel's;latham;said;volume;deal;company's;israel;boarding;passengers;ticket;says;soft-drink;market;pepsico;bottling;mr.;asian;team;coke
doc232,e12,1,-1,0,Coke_s_Net_Rose_17%__Revenue_Climbed_6%_in_2nd_Qua,Coca_Cola_to_Increase_Japan_Vending_Sites,5,reported;said;increased;coca-cola;continued;8%;coca-cola's;including;company's;compared;quarter.;led;quarter;strong;sales;company;volume;gains;ads;growth,coca-cola;israel's;latham;said;volume;deal;company's;israel;boarding;passengers;ticket;says;soft-drink;market;pepsico;bottling;mr.;asian;team;coke
doc437,e12,1,-1,0,ADVERTISING_Signing_O_Neal_Costs_Lakers_Coca_Cola_,Coca_Cola_to_Increase_Japan_Vending_Sites,5,zenith;said;player;marketing;sponsorship;california;sports;rights;coca-cola;o'neil;team;israel;mr.;new;coke;sponsors;outdoor;pepsi;worldwide;lakers,coca-cola;israel's;latham;said;volume;deal;company's;israel;boarding;passengers;ticket;says;soft-drink;market;pepsico;bottling;mr.;asian;team;coke
doc981,e12,1,-1,0,Coca_Cola_Steals_Bottler_In_Venezuela_from_Pepsi,Coca_Cola_to_Increase_Japan_Vending_Sites,5,venezuelan;million;soft-drink;said;puerto;coca-cola;bottling;israel;mr.;cisneros;latham;market;deal;latin;israel's;expand;bottler;sewell;pepsi;pepsico,coca-cola;israel's;latham;said;volume;deal;company's;israel;boarding;passengers;ticket;says;soft-drink;market;pepsico;bottling;mr.;asian;team;coke
doc999,e12,1,-1,0,ASIAN_TRAVEL_Asian_Airlines_Enter_Realm_of_High_Te,Coca_Cola_to_Increase_Japan_Vending_Sites,5,check-in;boarding;internet.;good;number;passes;travel;ana;people;domestic;machines;asian;reservations;passengers;ticket;airlines;service;says;pick;seats,coca-cola;israel's;latham;said;volume;deal;company's;israel;boarding;passengers;ticket;says;soft-drink;market;pepsico;bottling;mr.;asian;team;coke
doc60,e60,1,-1,1,Burger_King_Plans_More_Outlets_in_Japan,Burger_King_Plans_More_Outlets_in_Japan,4,kirby;joint;burger;retailers;said;franchise;metropolitan;convert;king;restaurant;king;u.s.;owned;japan;morinaga;grand;said.;venture;senior;want,silver;burger;king;hsn;mr.;stock;police;deal;million;class;shares;liberty;japan;b;ms.;stations;way;share;campaign;new
doc142,e60,1,-1,1,Devault_s_Silver_King_Agrees_To_Acquire_Home_Shopp,Burger_King_Plans_More_Outlets_in_Japan,4,b;common;stations;cable;silver;king's;class;king;mr.;devault;shares;liberty;stake;share;new;stock;deal;shopping;fcc;hsn,silver;burger;king;hsn;mr.;stock;police;deal;million;class;shares;liberty;japan;b;ms.;stations;way;share;campaign;new
doc218,e60,1,-1,1,ADVERTISING_Ammirati_Flips_Over_Tradition_In_Jingl,Burger_King_Plans_More_Outlets_in_Japan,4,burger;billings.;million;said;the;king's;anderson;ms.;way;like;king;ammirati;says;account;cousins;says;campaign;interpublic;ensure;says.,silver;burger;king;hsn;mr.;stock;police;deal;million;class;shares;liberty;japan;b;ms.;stations;way;share;campaign;new
doc430,e60,1,-1,1,Accused_Former_Police_Officer_Indicted_in_Irvin_Mu,Burger_King_Plans_More_Outlets_in_Japan,4,cowboys';said;hours;dallas;told;undercover;alleged;solicitation;king;agent;plot;boudreau;dea;bribery;charge;police;officer;criminal;2011;years,silver;burger;king;hsn;mr.;stock;police;deal;million;class;shares;liberty;japan;b;ms.;stations;way;share;campaign;new
doc68,e68,1,-1,2,Consumer_Reports_Targets_Aguilar__Acura_Cars_for_R,Consumer_Reports_Targets_Aguilar__Acura_Cars_for_R,3,reports;vehicles;said;vehicle;road;consumer;slx;honda;safety;tests;not;motor;tendency;isuzu;sport-utility;trooper;2011;name;2010;rollover,said;advertising;consumer;ad;acura;union;vehicles;ads;consumers;test;vehicle;2011;tv;trooper;group;smirnoff;road;slx;roll;sales
doc134,e68,1,-1,2,ADVERTISING_Isuzu_Puts_the_Brakes_On_Trooper_Campa,Consumer_Reports_Targets_Aguilar__Acura_Cars_for_R,3,isuzu's;said;vehicle;consumers;officials;advertising;web;smirnoff;consumer;acura;created;sales;company;isuzu;tv;sport-utility;2011;group's;ad;ads,said;advertising;consumer;ad;acura;union;vehicles;ads;consumers;test;vehicle;2011;tv;trooper;group;smirnoff;road;slx;roll;sales
doc910,e68,1,-1,2,Consumer_Reports_Says_Isuzu__Acura_Models_Pose_Rol,Consumer_Reports_Targets_Aguilar__Acura_Cars_for_R,3,turn;reports;said;test;consumers;slx;consumer;acura;mr.;models;avoid;roll;earlier;isuzu;union;2011;trooper;vehicles;group;sold,said;advertising;consumer;ad;acura;union;vehicles;ads;consumers;test;vehicle;2011;tv;trooper;group;smirnoff;road;slx;roll;sales
doc86,e86,1,-1,3,Americas_Shares_End_Higher;_U.S._Rate_Fears_Hurt_M,Americas_Shares_End_Higher;_U.S._Rate_Fears_Hurt_M,22,tuesday;fell;index;lower;higher;153.48;argentina;country's;dow;brazilian;u.s.;stock;jones;americas;market;slipping;market's;gains;prices;world,cattle;gruma;pence;yen;texas;boatmen's;2011;markets;central;options;adm;nationsbank;futures;sales;says;cents;aflatoxin;ltd.;mexico;coffee
doc128,e86,1,-1,3,Boatmen_s_Options_Jumped_Before_Merger_Was_Unveile,Americas_Shares_End_Higher;_U.S._Rate_Fears_Hurt_M,22,cristopher;each;boatmen's;number;$45;according;purchased;shares;march;shares;stock;options;volume;2011;nationsbank;right;exercised;options;mcclary's;shares.,cattle;gruma;pence;yen;texas;boatmen's;2011;markets;central;options;adm;nationsbank;futures;sales;says;cents;aflatoxin;ltd.;mexico;coffee
doc138,e86,1,-1,3,Buyers_Eye_Speculative_Shares,Americas_Shares_End_Higher;_U.S._Rate_Fears_Hurt_M,22,index;million;fell;said;maker;stocks;singapore;shares;share;market;stock;miel;company;transmarco;active;closed;1.4;trading;exchange;shares.,cattle;gruma;pence;yen;texas;boatmen's;2011;markets;central;options;adm;nationsbank;futures;sales;says;cents;aflatoxin;ltd.;mexico;coffee
doc141,e86,1,-1,3,An_Early_Recovery_in_the_U.S._Helps_Most_Markets_E,Americas_Shares_End_Higher;_U.S._Rate_Fears_Hurt_M,22,late-morning;index;however;france;0.58;cautious;slipped;higher;dow;stocks;shares;following;jones;stock;european;market;gains;tuesday;trading;world,cattle;gruma;pence;yen;texas;boatmen's;2011;markets;central;options;adm;nationsbank;futures;sales;says;cents;aflatoxin;ltd.;mexico;coffee
doc151,e86,1,-1,3,Crude_Oil_Futures_Advance__Tracking_Refinery_Produ,Americas_Shares_End_Higher;_U.S._Rate_Fears_Hurt_M,22,wheat;president;million;fell;traders;cents;said;dry;thursday;u.s.;draw;rose;december;new;earlier;futures;prices;soybean;gold;october,cattle;gruma;pence;yen;texas;boatmen's;2011;markets;central;options;adm;nationsbank;futures;sales;says;cents;aflatoxin;ltd.;mexico;coffee
doc193,e86,1,-1,3,Cattle_Sector_on_Recovery_Path_After_Enduring_High,Americas_Shares_End_Higher;_U.S._Rate_Fears_Hurt_M,22,analysts;cents;feedlots;texas;coffee;half;cattle;u.s.;corn;crop;livestock;rose;aflatoxin;grain;prices;year;government;delivery;trading;forced,cattle;gruma;pence;yen;texas;boatmen's;2011;markets;central;options;adm;nationsbank;futures;sales;says;cents;aflatoxin;ltd.;mexico;coffee
doc205,e86,1,-1,3,Despite_Rout__Stocks_Are_Best;_How_to_Protect_Your,Americas_Shares_End_Higher;_U.S._Rate_Fears_Hurt_M,22,just;need;prices.;investments;buy;portfolio;short-term;stocks;u.s.;shares;portfolio's;market;stock;funds;cash;years;money;years;foreign;make,cattle;gruma;pence;yen;texas;boatmen's;2011;markets;central;options;adm;nationsbank;futures;sales;says;cents;aflatoxin;ltd.;mexico;coffee
doc214,e86,1,-1,3,Bulls_in_Central_Europe_Claim_Markets_Are_Taking_a,Americas_Shares_End_Higher;_U.S._Rate_Fears_Hurt_M,22,index;europe;markets;investors;rates;stocks;shares;new;stock;european;emerging;equities;issues;asia;says;bourse;east;foreign;central;growth,cattle;gruma;pence;yen;texas;boatmen's;2011;markets;central;options;adm;nationsbank;futures;sales;says;cents;aflatoxin;ltd.;mexico;coffee
doc238,e86,1,-1,3,Banking_Sector_Lifts_Hang_Seng,Americas_Shares_End_Higher;_U.S._Rate_Fears_Hurt_M,22,hong;seng;holdings;index;said;cents;hongkong;news;hsbc;climbed;kong;25;hang;surged;shares;rose;10;market;ltd.;bank,cattle;gruma;pence;yen;texas;boatmen's;2011;markets;central;options;adm;nationsbank;futures;sales;says;cents;aflatoxin;ltd.;mexico;coffee
doc241,e86,1,-1,3,Corn__Soybeans_Rise_as_New_Data_Suggest_Scant_Crop,Americas_Shares_End_Higher;_U.S._Rate_Fears_Hurt_M,22,wheat;fell;cents;said;higher;poor;u.s.;corn;oil;new;market;industrial;futures;settled;crude;buying;prices;august;gold;september,cattle;gruma;pence;yen;texas;boatmen's;2011;markets;central;options;adm;nationsbank;futures;sales;says;cents;aflatoxin;ltd.;mexico;coffee
doc322,e86,1,-1,3,Americas_Stocks_End_Higher;_Selective_Buying_Boost,Americas_Shares_End_Higher;_U.S._Rate_Fears_Hurt_M,22,sector;wednesday;market-moving;index;employment;second;0.45;investors;durable-houseware;data;dow;u.s.;shares;rose;market;stock;jones;americas;closed;world,cattle;gruma;pence;yen;texas;boatmen's;2011;markets;central;options;adm;nationsbank;futures;sales;says;cents;aflatoxin;ltd.;mexico;coffee
doc366,e86,1,-1,3,Corn__Soybean_Futures_Decline_After_Rain_Drenches_,Americas_Shares_End_Higher;_U.S._Rate_Fears_Hurt_M,22,analyst;wheat;cents;said;moisture;monday;corn;amid;oil;spot;rose;december;new;futures;settled;buying;crude;prices;high;september,cattle;gruma;pence;yen;texas;boatmen's;2011;markets;central;options;adm;nationsbank;futures;sales;says;cents;aflatoxin;ltd.;mexico;coffee
doc371,e86,1,-1,3,Corn__Soybean_Futures_Plunge_On_Forecasts_of_Midwe,Americas_Shares_End_Higher;_U.S._Rate_Fears_Hurt_M,22,traders;fell;cents;said;u.s.;crop;corn;oil;market;stock;settled;metals;said.;precious;buying;crude;august;prices;tuesday;september,cattle;gruma;pence;yen;texas;boatmen's;2011;markets;central;options;adm;nationsbank;futures;sales;says;cents;aflatoxin;ltd.;mexico;coffee
doc428,e86,1,-1,3,Drug__Bank_Stocks_Lead_Rally,Americas_Shares_End_Higher;_U.S._Rate_Fears_Hurt_M,22,sector;index;traders;million;said;hsbc;rallied;ended;stocks;close;really;rose;stock;price;london;gains;big;tuesday;exchange;drug,cattle;gruma;pence;yen;texas;boatmen's;2011;markets;central;options;adm;nationsbank;futures;sales;says;cents;aflatoxin;ltd.;mexico;coffee
doc552,e86,1,-1,3,ADM_to_Acquire_22%_Stake_In_Mexican_Tortilla_Maker,Americas_Shares_End_Higher;_U.S._Rate_Fears_Hurt_M,22,gruma;nestor;joint;exports;million;ventures;mexico;mexican;adm;corn-flour;agricultural;u.s.;corn;mills;possible;new;raye;help;market;gruma's,cattle;gruma;pence;yen;texas;boatmen's;2011;markets;central;options;adm;nationsbank;futures;sales;says;cents;aflatoxin;ltd.;mexico;coffee
doc558,e86,1,-1,3,Arbitrage_Trading_Crushes_Stocks;_Nikkei_Falls_2.2,Americas_Shares_End_Higher;_U.S._Rate_Fears_Hurt_M,22,traders;fell;index;million;said;selling;billion;stocks;section;shares;stock;market;30;matsushita;yen;issues;company;tokyo;bank;securities,cattle;gruma;pence;yen;texas;boatmen's;2011;markets;central;options;adm;nationsbank;futures;sales;says;cents;aflatoxin;ltd.;mexico;coffee
